"REF_DATE,""GEO"",""DGUID"",""Sex"",""Age group"",""Activity"",""Period of the week"",""Student response"",""UOM"",""UOM_ID"",""SCALAR_FACTOR"",""SCALAR_ID"",""VECTOR"",""COORDINATE"",""VALUE"",""STATUS"",""SYMBOL"",""TERMINATED"",""DECIMALS"""
"2002,""Belgium (French speaking)"","""",""Females"",""11 years"",""Watching television"",""Weekdays"",""None at all"",""Percent"",""239"",""units "",""0"",""v29816993"",""3.2.1.1.1.1"",""6"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Females"",""11 years"",""Watching television"",""Weekdays"",""About half an hour"",""Percent"",""239"",""units "",""0"",""v29816994"",""3.2.1.1.1.2"",""20"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Females"",""11 years"",""Watching television"",""Weekdays"",""About 1 hour"",""Percent"",""239"",""units "",""0"",""v29816995"",""3.2.1.1.1.3"",""26"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Females"",""11 years"",""Watching television"",""Weekdays"",""About 2 hours"",""Percent"",""239"",""units "",""0"",""v29816996"",""3.2.1.1.1.4"",""22"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Females"",""11 years"",""Watching television"",""Weekdays"",""About 3 hours"",""Percent"",""239"",""units "",""0"",""v29816997"",""3.2.1.1.1.5"",""12"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Females"",""11 years"",""Watching television"",""Weekdays"",""About 4 hours"",""Percent"",""239"",""units "",""0"",""v29816998"",""3.2.1.1.1.6"",""7"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Females"",""11 years"",""Watching television"",""Weekdays"",""About 5 hours"",""Percent"",""239"",""units "",""0"",""v29816999"",""3.2.1.1.1.7"",""3"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Females"",""11 years"",""Watching television"",""Weekdays"",""About 6 hours"",""Percent"",""239"",""units "",""0"",""v29817000"",""3.2.1.1.1.8"",""2"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Females"",""11 years"",""Watching television"",""Weekdays"",""About 7 hours or more"",""Percent"",""239"",""units "",""0"",""v29817001"",""3.2.1.1.1.9"",""2"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Females"",""11 years"",""Watching television"",""Weekend"",""None at all"",""Percent"",""239"",""units "",""0"",""v29817002"",""3.2.1.1.2.1"",""3"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Females"",""11 years"",""Watching television"",""Weekend"",""About half an hour"",""Percent"",""239"",""units "",""0"",""v29817003"",""3.2.1.1.2.2"",""11"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Females"",""11 years"",""Watching television"",""Weekend"",""About 1 hour"",""Percent"",""239"",""units "",""0"",""v29817004"",""3.2.1.1.2.3"",""18"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Females"",""11 years"",""Watching television"",""Weekend"",""About 2 hours"",""Percent"",""239"",""units "",""0"",""v29817005"",""3.2.1.1.2.4"",""22"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Females"",""11 years"",""Watching television"",""Weekend"",""About 3 hours"",""Percent"",""239"",""units "",""0"",""v29817006"",""3.2.1.1.2.5"",""18"","""","""","""",""0"""
